id,title,lemmatized,sentiment_lemm,fear,anger,anticipation,surprise,sadness,joy,disgust,positive,negative
13827,"Surfer, Dude",surfing sport nd comedy iso_3166_1 u name united state america english,wave twisting tale soul searching surfer experiencing existential crisis comedy surfing sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
13836,Race to Witch Mountain,spacecraft laser teleportation telekinesis alien military duringcreditsstinger supernatural power mountain race adventure family fantasy science fiction thriller action iso_3166_1 u name united state america english,taxi driver get bargained pick two teen runaway pair possess supernatural power theyre also trying desperately escape people made target adventure family fantasy science fiction thriller action spacecraft laser teleportation telekinesis alien military duringcreditsstinger supernatural power mountain,0.1428571428571428,0.0,0.1904761904761904,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.2857142857142857,0.1428571428571428
13849,The Cottage,ransom hostage hostage drama sleep six bloody comfortably horror comedy crime thriller iso_3166_1 gb name united kingdom english,remote part countryside bungled kidnapping turn living nightmare four central character cross path psychopathic farmer hell break loose horror comedy crime thriller ransom hostage hostage drama,0.2413793103448276,0.2413793103448276,0.0,0.0689655172413793,0.1034482758620689,0.0,0.0689655172413793,0.0,0.2758620689655172
13853,The Clan of the Cave Bear,stone age tribe caveman prehistoric adventure prehistoric time neanderthal prehistoric man dawn mankind woman led way adventure drama iso_3166_1 u name united state america english,natural change clan moving iza medicine woman clan cave bear find little ayla others clan tradition would clan kill ayla immediately iza insists keeping little one find needed new cave shes allowed stay thrive adventure drama stone age tribe caveman prehistoric adventure prehistoric time neanderthal prehistoric man,0.1428571428571428,0.0952380952380952,0.1904761904761904,0.0,0.0476190476190476,0.0,0.0,0.1428571428571428,0.1428571428571428
13856,Special,hallucination superhero independent film nd drama fantasy science fiction iso_3166_1 u name united state america english,lonely metermaid psychotic reaction medication becomes convinced he superhero select group people life truly gifted special movie everyone else drama fantasy science fiction hallucination superhero independent film,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.1818181818181818
13888,Return to the Blue Lagoon,island marooned pacific island teenager deserted island tropical island return romance return adventure drama adventure romance iso_3166_1 fj name fiji english,sequel 1980 classic two child stranded beautiful island south pacific adult guide two make simple life together eventually become tanned teenager love drama adventure romance island marooned pacific island teenager deserted island tropical island,0.0689655172413793,0.0344827586206896,0.1379310344827586,0.0344827586206896,0.0689655172413793,0.1379310344827586,0.0344827586206896,0.3448275862068966,0.0689655172413793
13889,Madadayo,nd drama iso_3166_1 jp name japan japanese,film tell story professor uehida hyakkensama 18891971 gotemba around forty university professor air raid left become writer live hut mood hardly changed change time drama,0.1333333333333333,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0,0.3333333333333333,0.0666666666666666
13898,The Circle,nd drama foreign iso_3166_1 ir name iran persian,various woman struggle function oppressively sexist society contemporary iran drama foreign,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4
13908,The Master of Disguise,aftercreditsstinger duringcreditsstinger get disguise getting another story comedy family iso_3166_1 u name united state america english,sweetnatured italian waiter named pistachio disguisey father fabbrizios restaurant happens member family supernatural skill disguise moment later patriarch disguisey family kidnapped fabbrizios former archenemy devlin bowman criminal mastermind attempt steal world precious treasure around world pistachio track bowman save family bowman kill comedy family aftercreditsstinger duringcreditsstinger,0.12,0.08,0.16,0.04,0.08,0.12,0.04,0.12,0.12
13909,She Wore a Yellow Ribbon,captain fort retirement attack cavalry john ford new finest picture fighting cavalry western iso_3166_1 u name united state america english,custer 7th cavalry wiped indian everyone expects worst capt nathan brittle ordered patrol he also required take along abby allshard wife fort commanding officer niece pretty olivia dandridge evacuated safety brittle day away retirement olivia caught eye two young officer company lt flint cohill 2nd lt ross pennell shes taken wearing yellow ribbon hair sign beau cavalry refuse say wearing western captain fort retirement attack cavalry,0.075,0.05,0.125,0.025,0.05,0.125,0.0,0.225,0.1
